// Add missing lemmas in this file to enrich the lemmatizer.
// The format is "word lemma weight"
// Ex: attached attach 1
// If undefined weight -> let the program determine the best weight
unattached unattach
acting act
balled ball
ballsed ballse
bottomed bottom
clouded cloud
cozied cozy
fiddling fiddle
following follow
homing home
leveled level
livened liven
magicked magic
mouthing mouth
pootling pootle
sexed sex
spirited spirit
stove stave
vacuumed vacuum
whiled while
wigged wig
zoned zone
ballsed balls
shore shore
feces feces
ideating ideate
coder code
zoning zone
bing bing
sped speed
lied lie
jihad jihad
kies kies
Mars Mars
ned ned
curlew curlew
n't not
overlords overlord
australopithecus australopithecus
proofreading proofread
babed babe
misreading misread
threading thread
dreading dread
breading bread
lay lay
warlords warlord
dragonlords dragonlord
mylords mylord
underlords underlord
slumlords slumlord
medding medding
lords lord
